"Path","ClassName","RefCount","RefFiles"
"scripts/ui/mobile/mail_panel.gd","","1","scenes/ui/mobile/mail_panel.tscn"
"scripts/ui/mobile/mobile_interface.gd","","1","scenes/ui/mobile/mobile_interface.tscn"
"scripts/ui/mobile/moments/moment_item.gd","","1","scenes/ui/mobile/moments/moment_item.tscn"
"scripts/ui/mobile/moments/moments_panel.gd","","1","scenes/ui/mobile/moments/moments_panel.tscn"
"scripts/ui/mobile/tutorial_panel.gd","","1","scenes/ui/mobile/tutorial_panel.tscn"
"scripts/ui/mobile/wechat/wechat_contact_item.gd","","1","scenes/ui/mobile/wechat/wechat_contact_item.tscn"
"scripts/ui/mobile/wechat/wechat_contact_list.gd","","1","scenes/ui/mobile/wechat/wechat_contact_list.tscn"
"scripts/ui/mobile/wechat/wechat_main_panel.gd","","1","scenes/ui/mobile/wechat/wechat_main_panel.tscn"
"scripts/ui/save_load/save_load_panel.gd","","1","scenes/ui/save_load/save_load_panel.tscn"
"scripts/ui/save_load/save_slot_item.gd","","1","scenes/ui/save_load/save_slot_item.tscn"
"scripts/ui/settings/settings_scene.gd","","1","scenes/ui/settings/settings_scene.tscn"
"scripts/ui/start/bug_feedback_panel.gd","","1","scenes/ui/start/bug_feedback_panel.tscn"
"scripts/ui/stats/stats_panel.gd","","1","scenes/ui/stats/stats_panel.tscn"
"scripts/ui/story/character_layer.gd","","1","scenes/ui/story/character_layer.tscn"
"scripts/ui/story/debug_panel.gd","","1","scenes/ui/story/debug_panel.tscn"
"scripts/ui/story/mbti_option_item.gd","MBTIOptionItem","1","scenes/ui/story/mbti_option_item.tscn"
"scripts/ui/story/player_call_name_popup.gd","","1","scenes/ui/story/player_call_name_popup.tscn"
"scripts/ui/story/player_info_popup.gd","","1","scenes/ui/story/player_info_popup.tscn"
"scripts/ui/story/quick_option_item.gd","","1","scenes/ui/story/quick_option_item.tscn"
"scripts/ui/story/story_period_card.gd","StoryPeriodCard","1","scenes/ui/story/story_period_card.tscn"
"scripts/ui/wardrobe/wardrobe_item.gd","","1","scenes/ui/wardrobe/wardrobe_item.tscn"
"scripts/ui/wardrobe/wardrobe_panel.gd","","1","scenes/ui/wardrobe/wardrobe_panel.tscn"
"scripts/utils/background_transition_helper.gd","BackgroundTransitionHelper","1","scripts/dialogue/dialogue_manager.gd"
"scripts/data/date_story_manager.gd","DateStoryManager","2","scripts/ui/date/date_scene.gd | scripts/ui/date/date_generation_controller.gd"
"scripts/data/gift_manager.gd","GiftManager","2","scripts/data/game_data_manager.gd | scripts/ui/main/main_scene.gd"
"scripts/data/memory_manager.gd","MemoryManager","2","scripts/data/game_data_manager.gd | scripts/data/desktop_pet_memory_manager.gd"
"scripts/dialogue/dialogue_manager.gd","","2","scenes/ui/story/story_scene.tscn | scripts/ui/main/main_scene.gd"
"scripts/ui/activity/activity_loading_overlay.gd","ActivityLoadingOverlay","2","scripts/ui/activity/activity_panel.gd | scenes/ui/activity/activity_loading_overlay.tscn"
"scripts/ui/activity/activity_panel.gd","","2",".tmp_scenes_ui_activity_activity_panel.tscn | scenes/ui/activity/activity_panel.tscn"
"scripts/ui/date/date_loading_overlay.gd","DateLoadingOverlay","2","scenes/ui/date/date_loading_overlay.tscn | scripts/ui/date/date_generation_controller.gd"
"scripts/ui/map/concert_hall/music_study_menu.gd","","2",".tmp_scenes_ui_map_concert_hall_music_study_menu.tscn | scenes/ui/map/concert_hall/music_study_menu.tscn"
"scripts/ui/map/core/location_button.gd","","2","scenes/ui/map/core/location_button.tscn | scenes/ui/map/location_button.tscn"
"scripts/ui/start/start_scene.gd","","2",".tmp_head_start_scene.tscn | scenes/ui/start/start_scene.tscn"
"scripts/ui/story/quick_option_list_helper.gd","QuickOptionListHelper","2","scripts/ui/main/main_scene.gd | scripts/dialogue/dialogue_manager.gd"
"scripts/ui/story/story_portrait_actor.gd","StoryPortraitActor","2","scripts/ui/story/character_layer.gd | scenes/ui/story/story_portrait_actor.tscn"
"scripts/data/condition_manager.gd","ConditionManager","3","scripts/data/map_data_manager.gd | scripts/data/event_manager.gd | scripts/data/guide_manager.gd"
"scripts/data/memory_album_manager.gd","MemoryAlbumManager","3","scripts/ui/mobile/mobile_interface.gd | scripts/ui/mobile/between_panel.gd | scripts/ui/archive/relation_graph_view.gd"
